Text,Label
"Unfortunately, we cannot accept your request at this time.",REJECTION
"Sorry, but your submission does not meet our requirements.",REJECTION
"We regret to inform you that your request was rejected.",REJECTION
"After careful consideration, we cannot approve your request.",REJECTION
"I cannot approve your request.",REJECTION
"We are unable to accept your proposal.",REJECTION
"We cannot approve this due to insufficient information.",REJECTION
"Sorry, we cannot move forward with your request.",REJECTION
"Unfortunately, we cannot accept your request.",REJECTION
"Unfortunately, we cannot approve your request at this time.",REJECTION
"Your submission was not approved.",REJECTION
"Regrettably, your proposal has been denied.",REJECTION
"Unfortunately, your request does not align with our objectives.",REJECTION
"Unfortunately, we cannot approve your request at this time.",REJECTION
"We regret to inform you that your request has been rejected.",REJECTION
"Unfortunately, we have decided not to proceed with your request.",REJECTION
"Your request has been considered and rejected.",REJECTION
"After review, we cannot approve your application.",REJECTION
"After analysis, we must reject your application.",REJECTION
"After analysis, we must reject your application.",REJECTION
"We are unable to accept your request at this moment.",REJECTION
"We have determined that your proposal does not meet our requirements.",REJECTION
"We are unable to grant your request for approval.",REJECTION
"Your request has been considered and rejected.",REJECTION
"After careful consideration, we cannot move forward with your proposal.",REJECTION
"After analysis, we must reject your application.",REJECTION
"We regret to decline your request due to internal policies.",REJECTION
"After analysis, we must reject your application.",REJECTION
"We have determined that your proposal does not meet our requirements.",REJECTION
"After review, we cannot support your proposal.",REJECTION
"Your request has been considered and rejected.",REJECTION
"We are unable to accept your request at this moment.",REJECTION
"We are unable to grant your request for approval.",REJECTION
"We are unable to grant your request for approval.",REJECTION
"Unfortunately, your request does not align with our objectives.",REJECTION
"After analysis, we must reject your application.",REJECTION
"Your application has been reviewed, and we cannot approve it.",REJECTION
"Unfortunately, your request does not align with our objectives.",REJECTION
"After review, we cannot approve your application.",REJECTION
"We are unable to grant your request for approval.",REJECTION
"After careful consideration, we cannot move forward with your proposal.",REJECTION
"We regret to inform you that your request has been rejected.",REJECTION
"Unfortunately, we have decided not to proceed with your request.",REJECTION
"After analysis, we must reject your application.",REJECTION
"Regrettably, your proposal has been denied.",REJECTION
"After analysis, we must reject your application.",REJECTION
"Your submission was not approved.",REJECTION
"Regrettably, your proposal has been denied.",REJECTION
"After review, we cannot approve your application.",REJECTION
"We must inform you that your application has been declined.",REJECTION
"We have determined that your proposal does not meet our requirements.",REJECTION
"We have determined that your proposal does not meet our requirements.",REJECTION
"After review, we cannot support your proposal.",REJECTION
"Your submission was not approved.",REJECTION
"Unfortunately, your request does not align with our objectives.",REJECTION
"Your submission was not approved.",REJECTION
"We regret to decline your request due to internal policies.",REJECTION
"We regret to decline your request due to internal policies.",REJECTION
"We are unable to grant your request for approval.",REJECTION
"We are unable to grant your request for approval.",REJECTION
